,frame,x,y,z,bodypart
0,0.0,,,,elbow
1,0.0,0.06545066771789775,-0.3767091810230794,-0.07015405824782225,wrist
2,0.0,-0.012275703889961811,-0.36448859527847927,-0.06752799936519523,thumb1
3,0.0,-0.0297690076906722,-0.33810914148711557,-0.07058115793174033,thumb2
4,0.0,-0.03192676512727055,-0.3134139689647637,-0.07621469076667155,thumb3
5,0.0,0.007172832137233687,-0.3337067826379036,-0.02657946521849995,index1
6,0.0,-0.004660659855641888,-0.3046417526771285,-0.010130847214975897,index2
7,0.0,-0.017633660018478867,-0.2849474062604047,-0.010904876266163918,index3
8,0.0,-0.027769757895498307,-0.26973565215162415,-0.015151072925373876,index4
9,0.0,0.026357987971013644,-0.32321701102090816,-0.026641321635376164,middle1
10,0.0,0.013188231612353912,-0.29203125753470344,-0.0067559517500367094,middle2
11,0.0,-0.0022840632393218985,-0.2687250346604208,-0.010158394717007566,middle3
12,0.0,-0.012872307940827568,-0.25372437811617266,-0.014363959422052902,middle4
13,0.0,0.045664587409927876,-0.3188389129327605,-0.03474601020144796,ring1
14,0.0,0.03610620889738188,-0.2929248156656273,-0.011483260864675882,ring2
15,0.0,0.0210101862200128,-0.27102810530345495,-0.010510458302187442,ring3
16,0.0,0.01063641145366609,-0.25815515230128194,-0.013132858532873604,ring4
17,0.0,0.06457872471532378,-0.3147153567401561,-0.04903015047262363,little1
18,0.0,0.057051729148923244,-0.29677463755253386,-0.02985568065598293,little2
19,0.0,0.049317668290388056,-0.2825954370984011,-0.015599671292399989,little3
20,0.0,0.03909785796311743,-0.2735586885649352,-0.013144284323519329,little4
21,1.0,,,,elbow
22,1.0,0.06518648418706084,-0.37679024226045266,-0.07041319153536345,wrist
23,1.0,-0.01237599716741375,-0.3645893434073886,-0.06759378394907638,thumb1
24,1.0,-0.029791080690359892,-0.3382212676333849,-0.07055195895055147,thumb2
25,1.0,-0.03203692378936854,-0.31351586643760476,-0.07614226347883157,thumb3
26,1.0,0.007159755339104498,-0.333535651478447,-0.026631458732149324,index1
27,1.0,-0.00464213159988755,-0.3046589384711187,-0.010167624988658669,index2
28,1.0,-0.017617032378566586,-0.2850167646055469,-0.010900661915091661,index3
29,1.0,-0.02770153722843398,-0.26976383928873,-0.015211307957130438,index4
30,1.0,0.026379392294896373,-0.32316352825957995,-0.026734815007227963,middle1
31,1.0,0.013270353590152523,-0.2920222155122635,-0.006830625605373092,middle2
32,1.0,-0.002211590150595022,-0.26885332949241625,-0.010157827483014845,middle3
33,1.0,-0.012940606581868172,-0.2537797300295648,-0.014464204024356553,middle4
